iter	MAE	RMSE
490	0.1358599856	0.2822785338
491	0.1358598774	0.2822762453
492	0.1358591214	0.2822725919
493	0.1357851805	0.2821222144
494	0.1356643843	0.2819440867
495	0.1356251798	0.2818359655
496	0.1356228754	0.2818311061
497	0.1356095196	0.2818072764
498	0.1356077851	0.2818044816
499	0.1356069382	0.2818008131
500	0.1355651752	0.2817116407
501	0.1355639953	0.2817071428
502	0.1355629151	0.281703301
503	0.1355565406	0.281668642
504	0.1355530287	0.2816596358
505	0.1355125252	0.2815449079
506	0.1355101838	0.2815402857
507	0.1355038417	0.281520477
508	0.1354466636	0.2814003062
509	0.1354461909	0.2813977216
510	0.13537118	0.2812630422
511	0.135329956	0.2811961411
512	0.1352239258	0.281036799
513	0.1352183278	0.2810181142
514	0.1351550644	0.2809009831
515	0.1351362951	0.2808373955
516	0.1351357902	0.2808340471
517	0.1351274896	0.2808076833
518	0.1350725232	0.2806866508
519	0.13506884	0.2806785738
520	0.1350538663	0.2805994258
521	0.1350396961	0.2805468991
522	0.1350021015	0.2804225077
523	0.1349652863	0.280320088
524	0.134826698	0.2802140912
525	0.1347723628	0.2801145439
526	0.1347229236	0.2799684624
527	0.1346725639	0.2798731199
528	0.1345100196	0.2797449994
529	0.1344695605	0.2796335527
530	0.1344662688	0.2796258602
531	0.1344272177	0.2795150583
532	0.1344251431	0.2795088712
533	0.1344219731	0.2795014118
534	0.1344010966	0.2794511221
535	0.1343980336	0.2794401378
536	0.1343970626	0.2794364548
537	0.1343939143	0.27942891
538	0.1343908808	0.2794215829
539	0.1341987079	0.2792694773
540	0.1341910973	0.279243636
541	0.1341867747	0.2792336414
542	0.13417114	0.2791813736
543	0.1341418866	0.2790731606
544	0.1341413704	0.279071462
545	0.1341240774	0.279014513
546	0.1341229825	0.2790106104
547	0.1340407863	0.2788907122
548	0.1340401792	0.2788871077
549	0.1340164814	0.2788241918
550	0.1340153993	0.2788203742
551	0.1339998012	0.2787645406
552	0.1339438364	0.2786412515
553	0.1339247496	0.2785919114
554	0.1338871855	0.2784288772
555	0.1337166549	0.2782777013
556	0.13366204	0.2781807864
557	0.1336610724	0.2781772867
558	0.1336473584	0.2781331542
559	0.1336154794	0.2780314801
560	0.1336042077	0.2779863454
561	0.1336032017	0.2779804221
562	0.1335547107	0.2778740295
563	0.1335519368	0.2778673102
564	0.1335501359	0.2778611254
565	0.1334915651	0.2777483104
566	0.1334762855	0.2776950939
567	0.133450045	0.277642927
568	0.1334345036	0.2775882959
569	0.1334189964	0.2774931865
570	0.1334104257	0.2774721611
571	0.1333918876	0.2774291965
572	0.1333656971	0.2773445442
573	0.1332204528	0.2771644368
574	0.1331460294	0.2769909974
575	0.1331225947	0.2769305736
576	0.1331218383	0.2769284198
577	0.1331146544	0.2769141763
578	0.1331136961	0.2769108563
579	0.1331112157	0.2769045157
580	0.1329785492	0.2767926291
581	0.1329781168	0.2767898189
582	0.1329494104	0.2766915809
583	0.1329167208	0.276666525
584	0.1328875257	0.2765795915
585	0.1328709641	0.27653486
586	0.1328136403	0.2764197497
587	0.1327403253	0.27632166
588	0.1327342584	0.2763073882
589	0.1326886368	0.2761731078
590	0.132684809	0.2761619559
591	0.1326632386	0.2761125689
592	0.132585072	0.2760062275
593	0.1325793403	0.2759927864
594	0.1325531955	0.2759241622
595	0.1325418828	0.27589836
596	0.1325410176	0.2758957175
597	0.13245375	0.2757983491
598	0.1324157327	0.2756916147
599	0.1323471905	0.2755783796
600	0.1323338795	0.2755052149
601	0.1322982848	0.2754471225
602	0.1322926297	0.2754341653
603	0.1322888985	0.2754195514
604	0.1321389354	0.2752814864
605	0.1321376986	0.275277611
606	0.1321296771	0.2752587844
607	0.1321244529	0.2752463674
608	0.1320462872	0.2751152536
609	0.1320439916	0.2751098943
610	0.1320182799	0.275017903
